Format                   IAGA-2002                                    |
Source of Data           Ath. Univ. THEMIS UCLA Magnetic Network      |
Station Name             CPM1                                         |
IAGA CODE                CPM1                                         |
Geodetic Latitude        58.387                                       |
Geodetic Longitude       -116.005                                     |
Reported                 HDZF                                         |
Sensor Orientation       HDZF                                         |
Elevation                600                                          |
Digital Sampling         1                                            |
Data Interval Type       1-second instantaneous                       |
Data Type                Variation                                    |
DATE       TIME         DOY     X       Y       Z       H
2019-08-28 21:20:53.000 240	B1	021751	0274D2	FFFFFF
2019-08-28 21:20:54.000 240	020CAF	02174F	0274D1	FFFFFF
2019-08-28 21:20:55.000 240	020CAF	02174F	0274D1	FFFFFF
2019-08-28 21:20:56.000 240	020CAF	02174F	0274D1	FFFFFF
2019-08-28 21:20:57.000 240	020CAE	02174B	0274D0	FFFFFF
2019-08-28 21:20:58.000 240	020CAE	02174D	0274D1	FFFFFF
2019-08-28 21:20:59.000 240	020CB0	021750	0274D2	FFFFFF
2019-08-28 21:21:00.000 240	020CB0	02174F	0274D2	FFFFFF
2019-08-28 21:21:01.000 240	020CB1	021752	0274D3	FFFFFF
2019-08-28 21:21:02.000 240	020CB1	021752	0274D3	FFFFFF
2019-08-28 21:21:03.000 240	020CAF	02174E	0274D2	FFFFFF
2019-08-28 21:21:04.000 240	020CAF	02174D	0274D2	FFFFFF
2019-08-28 21:21:05.000 240	020CAF	02174D	0274D2	FFFFFF
2019-08-28 21:21:06.000 240	020CB1	02174E	0274D2	FFFFFF
2019-08-28 21:21:07.000 240	020CAE	02174A	0274D1	FFFFFF
2019-08-28 21:21:08.000 240	020CAD	021747	0274D1	FFFFFF
2019-08-28 21:21:09.000 240	020CAD	021747	0274D1	FFFFFF
